Open time,Open,High,Low,Close,Volume,Close time
1576137600000,141.95,144.50,141.07,144.11,78145.636,1576151999999
1576152000000,144.11,144.98,141.74,143.72,76672.306,1576166399999
1576166400000,143.72,145.48,143.37,145.01,61871.923,1576180799999
1576180800000,145.01,145.80,144.46,144.80,35744.757,1576195199999
1576195200000,144.80,145.20,144.15,144.56,28916.436,1576209599999
1576209600000,144.56,145,144.19,144.45,23376.240,1576223999999
1576224000000,144.45,144.72,143,144.37,40811.004,1576238399999
1576238400000,144.37,144.70,143.72,144.50,32062.845,1576252799999
1576252800000,144.53,145.17,144.30,144.45,37777.870,1576267199999
1576267200000,144.45,144.73,143.93,144.70,20123.806,1576281599999
1576281600000,144.71,144.97,144.20,144.52,12578.655,1576295999999
1576296000000,144.52,144.64,143.63,143.95,22182.047,1576310399999
1576310400000,143.94,143.95,142.13,143.17,43474.302,1576324799999
1576324800000,143.17,143.20,141.05,141.59,39440.864,1576339199999
1576339200000,141.57,142.61,141.10,142.14,43044.811,1576353599999
1576353600000,142.11,142.31,141.70,141.77,26315.988,1576367999999
1576368000000,141.77,141.89,139.89,140.98,51231.766,1576382399999
1576382400000,140.97,144,140.37,143.20,63661.983,1576396799999
1576396800000,143.20,143.92,142.21,142.71,35755.728,1576411199999
1576411200000,142.71,143.32,141.91,143.05,34739.027,1576425599999
1576425600000,143.06,143.17,142.33,142.80,19746.174,1576439999999
1576440000000,142.79,143.05,141.89,142.39,25595.156,1576454399999
1576454400000,142.46,142.63,141,141.37,30027.478,1576468799999
1576468800000,141.35,141.88,140.60,141.20,34728.209,1576483199999
1576483200000,141.18,141.64,140.02,141.05,54453.498,1576497599999
1576497600000,141.05,142.15,140.55,140.93,48976.298,1576511999999
1576512000000,140.92,141.21,128.59,131.67,291049.180,1576526399999
1576526400000,131.68,132.83,130.86,132.59,94361.496,1576540799999
1576540800000,132.60,132.84,130.66,131.92,36183.612,1576555199999
1576555200000,131.92,132.14,130.73,131.03,40899.586,1576569599999
1576569600000,131.04,132.20,130.70,132.13,44866.092,1576583999999
