Open time,Open,High,Low,Close,Volume,Close time
1570881600000,8319.74,8397.45,8304.70,8368.79,7058.380,1570895999999
1570896000000,8368.94,8395,8290.50,8307.99,6912.629,1570910399999
1570910400000,8307.99,8343.65,8292,8300.22,6331.173,1570924799999
1570924800000,8300.31,8360,8277.32,8336.51,5762.460,1570939199999
1570939200000,8336.51,8354.11,8307.20,8319.36,4445.248,1570953599999
1570953600000,8318.76,8378.19,8316.06,8345.14,4706.924,1570967999999
1570968000000,8345.14,8440,8342.55,8401.39,9107.409,1570982399999
1570982400000,8401.39,8456,8397.65,8430,6084.668,1570996799999
1570996800000,8430,8430,8137.30,8274.66,13714.204,1571011199999
1571011200000,8274.33,8300.22,8243.87,8286.51,5335.289,1571025599999
1571025600000,8286.62,8329.38,8272,8302.17,5563.985,1571039999999
1571040000000,8302.13,8320.50,8276.01,8279.61,6000.199,1571054399999
1571054400000,8277.61,8285.95,8241.19,8251.50,9058.467,1571068799999
1571068800000,8252.34,8381.77,8205.02,8327.16,24555.184,1571083199999
1571083200000,8327.16,8347.55,8251.16,8346.05,11486.697,1571097599999
1571097600000,8346.31,8408.62,8311,8313.69,6968.146,1571111999999
1571112000000,8313.96,8338.45,8272,8279.74,7972.723,1571126399999
1571126400000,8278.14,8320.15,8258.33,8294.50,12142.967,1571140799999
1571140800000,8294.23,8378.51,8235,8316.18,22332.846,1571155199999
1571155200000,8316.16,8321.40,8080,8177.46,26600.795,1571169599999
1571169600000,8177.50,8182.05,8131.03,8160.01,10229.272,1571183999999
1571184000000,8160.55,8184,8140,8167.82,7614.084,1571198399999
1571198400000,8167.38,8177.02,8119.48,8140.12,7005.305,1571212799999
1571212800000,8135,8166.51,8010.64,8060.33,16910.442,1571227199999
1571227200000,8060.33,8060.33,7900.24,7955.01,18761.384,1571241599999
1571241600000,7952.23,8022.98,7901.01,7957.06,12278.651,1571255999999
1571256000000,7958.40,8020.38,7957.20,7992.21,7864.586,1571270399999
1571270400000,7994.76,7998.14,7956.88,7968.12,7907.288,1571284799999
1571284800000,7967.65,7989,7930,7975.38,9659.490,1571299199999
1571299200000,7975,8119,7971.91,8066.01,15990.539,1571313599999
1571313600000,8066.01,8090.46,8015.23,8070.86,8887.672,1571327999999
1571328000000,8069.84,8124.63,8042.64,8060.02,9288.449,1571342399999
1571342400000,8061.51,8075.38,8036.93,8069.20,6621.164,1571356799999
